"№";"Изображение";"Имя";"Номер заказа";"Категория";"Базовая цена";"Итоговая Цена";"Количество";"Статус";
"223";"http://citymotors.com.ua/img/p/4/3/6/436.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 76,1-74,1";"HCR761-741";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"401";"http://citymotors.com.ua/img/p/8/3/3/833.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 72,6-71,6";"HCR726-716";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"579";"http://citymotors.com.ua/img/p/1/3/5/9/1359.jpg";"Шпилька колесная забивная для Hyndai M12x1.5x60";"СRP1470A60";"Шпильки";"1.520000";"1.52";"20";"1";
"792";"http://citymotors.com.ua/img/p/1/6/5/1/1651.jpg";"Techline 1506BD W6 PCD4x100 ET45 DIA60.1";"TL1506BDW6PCD4x100ET45DIA60.1";"Диски";"58.012305";"69.61";"12";"1";
"167";"http://citymotors.com.ua/img/p/3/2/3/323.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 70,1-56,6";"HCR701-566";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"344";"http://citymotors.com.ua/img/p/7/0/8/708.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 68,0-57,1";"HCR680-571";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"522";"http://citymotors.com.ua/img/p/1/2/0/1/1201.jpg";"Проставка колесная 13мм 5х120 72.6";"13SP5120 72.6 Step";"Проставки";"19.200000";"19.2";"20";"1";
"736";"http://citymotors.com.ua/img/p/1/5/9/5/1595.jpg";"Techline 535SL W6 PCD4x100 ET45 DIA67.1";"TL535SLW6PCD4x100ET45DIA67.1";"Диски";"56.903886";"68.28";"12";"1";
"912";"http://citymotors.com.ua/img/p/1/8/2/7/1827.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 66,1-64,1";"HCR661-641";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"111";"http://citymotors.com.ua/img/p/2/2/0/220.jpg";"ГАЙКА M12X1,5X32 ХРОМ КОНУС КЛЮЧ 7ГРАННИК";"317345 Cr";"Гайки и болты";"18.000000";"18";"100";"0";
"287";"http://citymotors.com.ua/img/p/5/5/1/551.jpg";"Гайки секретные M14X1,5X33 Тройной никель/хром Конус Форд кл.19-21мм";"726348FD2";"Секретки на колеса";"31.950000";"31.95";"1";"1";
"466";"http://citymotors.com.ua/img/p/1/0/2/3/1023.jpg";"Проставка колесная 13мм. (yниверс.) 58,6";"13SP (yниверс.) 58,6 Step";"Проставки";"18.800000";"18.8";"20";"1";
"680";"http://citymotors.com.ua/img/p/1/5/6/1/1561.jpg";"Techline 422S  W5.5 PCD4x100 ET32 DIA67.1";"TL422SW5.5PCD4x100ET32DIA67.1";"Диски";"56.079192";"67.29";"12";"1";
"856";"http://citymotors.com.ua/img/p/1/7/1/5/1715.jpg";"Techline 667BD W6 PCD4x108 ET37 DIA63.4";"TL667BDW6PCD4x108ET37DIA63.4";"Диски";"69.862553";"83.83";"12";"1";
"52";"http://citymotors.com.ua/img/p/1/0/7/107.jpg";"БОЛТ M14X1,5X32 ЦИНК СФЕРА КЛЮЧ 17 ММ";"084125 Z";"Гайки и болты";"1.200000";"1.2";"20";"1";
"231";"http://citymotors.com.ua/img/p/4/5/1/451.jpg";"Болты секретные M12X1,25X28 Хром Конус кл.17-19мм";"292110F2";"Секретки на колеса";"15.500000";"15.5";"1";"1";
"409";"http://citymotors.com.ua/img/p/8/4/8/848.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 74,1-54,1";"HCR741-541";"Центровочные кольца";"1.200000";"1.2";"20";"1";
